ts,J_total,W_total
1764309505.672234,0,0.0
1764309505.780363,0,0.0
1764309505.890592,0,0.0
1764309505.9997382,0,0.0
1764309506.105872,0,0.0
1764309506.2140968,0,0.0
1764309506.322021,0,0.0
1764309506.4271538,0,0.0
1764309506.52816,0,0.0
1764309506.634162,0,0.0
1764309506.744225,0,0.0
1764309506.849729,0,0.0
1764309506.951668,0,0.0
1764309507.061955,0,0.0
1764309507.170478,0,0.0
1764309507.280289,0,0.0
1764309507.385557,0,0.0
1764309507.49119,0,0.0
1764309507.596433,0,0.0
1764309507.700643,0,0.0
1764309507.8027542,0,0.0
1764309507.9136,0,0.0
1764309508.0166621,0,0.0
1764309508.124392,0,0.0
1764309508.233851,0,0.0
1764309508.339465,0,0.0
1764309508.446338,0,0.0
1764309508.5467572,0,0.0
1764309508.648007,0,0.0
1764309508.752609,0,0.0
1764309508.8576481,0,0.0
1764309508.959142,0,0.0
1764309509.0626,0,0.0
1764309509.170521,0,0.0
1764309509.2713642,0,0.0
1764309509.379404,0,0.0
1764309509.4895098,0,0.0
1764309509.597923,0,0.0
1764309509.705738,0,0.0
1764309509.808605,0,0.0
1764309509.908938,0,0.0
1764309510.019039,0,0.0
1764309510.121875,0,0.0
1764309510.222301,0,0.0
1764309510.323301,0,0.0
1764309510.433395,0,0.0
1764309510.539861,0,0.0
1764309510.647936,0,0.0
1764309510.755376,0,0.0
1764309510.863198,0,0.0
1764309510.963451,0,0.0
1764309511.0718532,0,0.0
1764309511.1812558,0,0.0
1764309511.292118,0,0.0
1764309511.392329,0,0.0
1764309511.499431,0,0.0
1764309511.6021461,0,0.0
1764309511.705895,0,0.0
1764309511.8097138,0,0.0
1764309511.910572,0,0.0
1764309512.012044,0,0.0
1764309512.1220968,0,0.0
1764309512.225951,0,0.0
1764309512.333308,0,0.0
1764309512.441625,0,0.0
1764309512.5482922,0,0.0
1764309512.649436,0,0.0
1764309512.754001,0,0.0
1764309512.861283,0,0.0
1764309512.963882,0,0.0
1764309513.07135,0,0.0
1764309513.180952,0,0.0
1764309513.28221,0,0.0
1764309513.38489,0,0.0
1764309513.4875698,0,0.0
1764309513.589406,0,0.0
1764309513.69799,0,0.0
1764309513.802358,0,0.0
1764309513.904747,0,0.0
1764309514.012224,0,0.0
1764309514.120857,0,0.0
1764309514.2243588,0,0.0
1764309514.331289,0,0.0
1764309514.439147,0,0.0
1764309514.545124,0,0.0
1764309514.645222,0,0.0
1764309514.748103,0,0.0
1764309514.852132,0,0.0
1764309514.961218,0,0.0
1764309515.063956,0,0.0
1764309515.167399,0,0.0
1764309515.272325,0,0.0
1764309515.380705,0,0.0
1764309515.4878578,0,0.0
1764309515.5970628,0,0.0
1764309515.699842,0,0.0
1764309515.801857,0,0.0
1764309515.90923,0,0.0
1764309516.015884,0,0.0
1764309516.124585,0,0.0
1764309516.2293508,0,0.0
1764309516.338509,0,0.0
1764309516.4477282,0,0.0
1764309516.552625,0,0.0
1764309516.660631,0,0.0
1764309516.767264,0,0.0
1764309516.8696058,0,0.0
1764309516.9769778,0,0.0
1764309517.078479,0,0.0
1764309517.183875,0,0.0
1764309517.2849221,0,0.0
1764309517.393417,0,0.0
1764309517.494837,0,0.0
1764309517.602247,0,0.0
1764309517.703337,0,0.0
1764309517.8093052,0,0.0
1764309517.913339,0,0.0
1764309518.021322,0,0.0
1764309518.129469,0,0.0
1764309518.237765,0,0.0
1764309518.340053,0,0.0
1764309518.446708,0,0.0
1764309518.5468621,0,0.0
1764309518.648913,0,0.0
1764309518.7495308,0,0.0
1764309518.859671,0,0.0
1764309518.967145,0,0.0
1764309519.0765371,0,0.0
1764309519.179286,0,0.0
1764309519.2817762,0,0.0
1764309519.3882082,0,0.0
1764309519.497636,0,0.0
1764309519.601295,0,0.0
1764309519.706319,0,0.0
1764309519.8085692,0,0.0
1764309519.9128199,0,0.0
1764309520.0206962,0,0.0
1764309520.130016,0,0.0
1764309520.237546,0,0.0
1764309520.344828,0,0.0
1764309520.454528,0,0.0
1764309520.555189,0,0.0
1764309520.664808,0,0.0
1764309520.767008,0,0.0
1764309520.873398,0,0.0
1764309520.9739158,0,0.0
1764309521.075593,0,0.0
1764309521.184793,0,0.0
1764309521.291971,0,0.0
