ts,J_total,W_total
1764301796.463711,0,0.0
1764301796.5687969,0,0.0
1764301796.6725929,0,0.0
1764301796.775349,0,0.0
1764301796.877973,0,0.0
1764301796.982288,0,0.0
1764301797.086852,0,0.0
1764301797.191606,0,0.0
1764301797.294688,0,0.0
1764301797.3983219,0,0.0
1764301797.49873,0,0.0
1764301797.603372,0,0.0
1764301797.707571,0,0.0
1764301797.812682,0,0.0
1764301797.91779,0,0.0
1764301798.018702,0,0.0
1764301798.1238568,0,0.0
1764301798.2316558,0,0.0
1764301798.3324149,0,0.0
1764301798.4356961,0,0.0
1764301798.540025,0,0.0
1764301798.6438348,0,0.0
1764301798.7443452,0,0.0
1764301798.8472068,0,0.0
1764301798.95229,0,0.0
1764301799.0542889,0,0.0
1764301799.15938,0,0.0
1764301799.2635021,0,0.0
1764301799.365015,0,0.0
1764301799.47015,0,0.0
1764301799.5719428,0,0.0
1764301799.67662,0,0.0
1764301799.779467,0,0.0
1764301799.884437,0,0.0
1764301799.9895098,0,0.0
1764301800.094124,0,0.0
1764301800.1969311,0,0.0
1764301800.300289,0,0.0
1764301800.404474,0,0.0
1764301800.509448,0,0.0
1764301800.610241,0,0.0
1764301800.711534,0,0.0
1764301800.815155,0,0.0
1764301800.9201589,0,0.0
1764301801.025248,0,0.0
1764301801.1301582,0,0.0
1764301801.232759,0,0.0
1764301801.337387,0,0.0
1764301801.440564,0,0.0
1764301801.5418181,0,0.0
1764301801.646889,0,0.0
1764301801.75118,0,0.0
1764301801.85617,0,0.0
1764301801.960192,0,0.0
1764301802.065022,0,0.0
1764301802.1669528,0,0.0
1764301802.2720509,0,0.0
1764301802.376778,0,0.0
1764301802.480777,0,0.0
1764301802.581378,0,0.0
1764301802.684339,0,0.0
1764301802.789252,0,0.0
1764301802.8937979,0,0.0
1764301802.995574,0,0.0
1764301803.099741,0,0.0
1764301803.202889,0,0.0
1764301803.304785,0,0.0
1764301803.408677,0,0.0
1764301803.513752,0,0.0
1764301803.615892,0,0.0
1764301803.720654,0,0.0
1764301803.8253639,0,0.0
1764301803.9272199,0,0.0
1764301804.032827,0,0.0
1764301804.137103,0,0.0
1764301804.241011,0,0.0
1764301804.343154,0,0.0
1764301804.447367,0,0.0
1764301804.5524428,0,0.0
1764301804.6575181,0,0.0
1764301804.757865,0,0.0
1764301804.859029,0,0.0
1764301804.9626539,0,0.0
1764301805.065025,0,0.0
1764301805.16895,0,0.0
1764301805.274027,0,0.0
1764301805.375026,0,0.0
1764301805.480238,0,0.0
1764301805.585164,0,0.0
1764301805.690252,0,0.0
1764301805.794227,0,0.0
1764301805.8948421,0,0.0
1764301805.99559,0,0.0
1764301806.096479,0,0.0
1764301806.1968682,0,0.0
1764301806.301962,0,0.0
1764301806.4057028,0,0.0
1764301806.510785,0,0.0
1764301806.612171,0,0.0
1764301806.7154171,0,0.0
1764301806.816239,0,0.0
1764301806.921241,0,0.0
1764301807.023041,0,0.0
1764301807.123532,0,0.0
1764301807.224103,0,0.0
1764301807.3281221,0,0.0
1764301807.428504,0,0.0
1764301807.532083,0,0.0
1764301807.634084,0,0.0
1764301807.739151,0,0.0
1764301807.842834,0,0.0
1764301807.947915,0,0.0
1764301808.052882,0,0.0
1764301808.157635,0,0.0
1764301808.262719,0,0.0
1764301808.362893,0,0.0
1764301808.4638379,0,0.0
1764301808.5645618,0,0.0
1764301808.666208,0,0.0
1764301808.7664902,0,0.0
1764301808.870946,0,0.0
1764301808.975105,0,0.0
1764301809.0776699,0,0.0
1764301809.181373,0,0.0
1764301809.285075,0,0.0
1764301809.3854778,0,0.0
1764301809.489891,0,0.0
1764301809.5911071,0,0.0
1764301809.696207,0,0.0
1764301809.801155,0,0.0
1764301809.90136,0,0.0
1764301810.004076,0,0.0
1764301810.104467,0,0.0
