ts,J_total,W_total
1764216574.179009,0,0.0
1764216574.280342,0,0.0
1764216574.384406,0,0.0
1764216574.4867918,0,0.0
1764216574.588272,0,0.0
1764216574.6916249,0,0.0
1764216574.794492,0,0.0
1764216574.897542,0,0.0
1764216574.997843,0,0.0
1764216575.1030169,0,0.0
1764216575.2047648,0,0.0
1764216575.309859,0,0.0
1764216575.410665,0,0.0
1764216575.515719,0,0.0
1764216575.624226,0,0.0
1764216575.727956,0,0.0
1764216575.832412,0,0.0
1764216575.937469,0,0.0
1764216576.0410922,0,0.0
1764216576.146189,0,0.0
1764216576.2494552,0,0.0
1764216576.353408,0,0.0
1764216576.4562209,0,0.0
1764216576.5598578,0,0.0
1764216576.665004,0,0.0
1764216576.768096,0,0.0
1764216576.872588,0,0.0
1764216576.976306,0,0.0
1764216577.080574,0,0.0
1764216577.183323,0,0.0
1764216577.288002,0,0.0
1764216577.39184,0,0.0
1764216577.496906,0,0.0
1764216577.6010082,0,0.0
1764216577.7010791,0,0.0
1764216577.806161,0,0.0
1764216577.911256,0,0.0
1764216578.015682,0,0.0
1764216578.11993,0,0.0
1764216578.223161,0,0.0
1764216578.327061,0,0.0
1764216578.427819,0,0.0
1764216578.5301461,0,0.0
1764216578.634263,0,0.0
1764216578.735456,0,0.0
1764216578.840559,0,0.0
1764216578.9415739,0,0.0
1764216579.043377,0,0.0
1764216579.145497,0,0.0
1764216579.250252,0,0.0
1764216579.352903,0,0.0
1764216579.4551702,0,0.0
1764216579.557739,0,0.0
1764216579.6628191,0,0.0
1764216579.767369,0,0.0
1764216579.8703659,0,0.0
1764216579.974596,0,0.0
1764216580.07752,0,0.0
1764216580.18062,0,0.0
1764216580.281389,0,0.0
1764216580.3863199,0,0.0
1764216580.491393,0,0.0
1764216580.5927172,0,0.0
1764216580.697782,0,0.0
1764216580.802859,0,0.0
1764216580.9062111,0,0.0
1764216581.010016,0,0.0
1764216581.111337,0,0.0
1764216581.215463,0,0.0
1764216581.315592,0,0.0
1764216581.420688,0,0.0
1764216581.5228028,0,0.0
1764216581.625783,0,0.0
1764216581.7290208,0,0.0
1764216581.8327591,0,0.0
1764216581.937535,0,0.0
1764216582.040477,0,0.0
1764216582.144199,0,0.0
1764216582.2471092,0,0.0
1764216582.350834,0,0.0
1764216582.4531891,0,0.0
1764216582.555532,0,0.0
1764216582.66061,0,0.0
1764216582.764053,0,0.0
1764216582.86643,0,0.0
1764216582.968727,0,0.0
1764216583.073809,0,0.0
1764216583.1739252,0,0.0
1764216583.274488,0,0.0
1764216583.378864,0,0.0
1764216583.480444,0,0.0
1764216583.583037,0,0.0
1764216583.685127,0,0.0
1764216583.7878752,0,0.0
1764216583.891423,0,0.0
1764216583.994715,0,0.0
1764216584.0990222,0,0.0
1764216584.199728,0,0.0
1764216584.3047922,0,0.0
1764216584.406664,0,0.0
1764216584.511602,0,0.0
1764216584.615607,0,0.0
1764216584.718486,0,0.0
1764216584.8203242,0,0.0
1764216584.923981,0,0.0
1764216585.024549,0,0.0
1764216585.129054,0,0.0
1764216585.2341719,0,0.0
1764216585.339054,0,0.0
1764216585.443873,0,0.0
1764216585.548958,0,0.0
1764216585.651849,0,0.0
1764216585.756914,0,0.0
1764216585.86206,0,0.0
1764216585.965971,0,0.0
1764216586.0670521,0,0.0
1764216586.170031,0,0.0
1764216586.274585,0,0.0
1764216586.37814,0,0.0
1764216586.482045,0,0.0
1764216586.585935,0,0.0
1764216586.686917,0,0.0
1764216586.788547,0,0.0
1764216586.891239,0,0.0
1764216586.994358,0,0.0
1764216587.094707,0,0.0
1764216587.196146,0,0.0
1764216587.300257,0,0.0
1764216587.403702,0,0.0
1764216587.507584,0,0.0
1764216587.6116638,0,0.0
1764216587.7120771,0,0.0
1764216587.821275,0,0.0
1764216587.924609,0,0.0
1764216588.029682,0,0.0
1764216588.1326778,0,0.0
1764216588.237772,0,0.0
1764216588.341641,0,0.0
1764216588.446087,0,0.0
1764216588.5513868,0,0.0
1764216588.6555939,0,0.0
1764216588.760184,0,0.0
1764216588.860506,0,0.0
1764216588.965558,0,0.0
1764216589.06613,0,0.0
1764216589.167317,0,0.0
1764216589.2678149,0,0.0
1764216589.371454,0,0.0
1764216589.475702,0,0.0
1764216589.579433,0,0.0
1764216589.6839511,0,0.0
1764216589.788116,0,0.0
1764216589.891229,0,0.0
1764216589.994813,0,0.0
1764216590.098451,0,0.0
1764216590.202407,0,0.0
1764216590.3025112,0,0.0
1764216590.406453,0,0.0
1764216590.508835,0,0.0
1764216590.611902,0,0.0
1764216590.71797,0,0.0
1764216590.821385,0,0.0
1764216590.925652,0,0.0
1764216591.028757,0,0.0
1764216591.131891,0,0.0
1764216591.236945,0,0.0
1764216591.341274,0,0.0
1764216591.446002,0,0.0
1764216591.54938,0,0.0
1764216591.65212,0,0.0
1764216591.7562041,0,0.0
1764216591.861293,0,0.0
1764216591.963371,0,0.0
1764216592.067852,0,0.0
1764216592.174175,0,0.0
1764216592.275765,0,0.0
1764216592.3793511,0,0.0
1764216592.48347,0,0.0
1764216592.586617,0,0.0
1764216592.690923,0,0.0
1764216592.792732,0,0.0
1764216592.897595,0,0.0
1764216593.0011892,0,0.0
1764216593.104379,0,0.0
1764216593.2050838,0,0.0
1764216593.3094242,0,0.0
1764216593.4126139,0,0.0
1764216593.517442,0,0.0
