method,label,event_file,rps,load_scale,duty_cycle_pct,duty_cycle_union_pct,energy_j,energy_per_duty_pct,energy_per_duty_fraction,energy_source,energy_scope,n_device,analysis_device_index,prefill_devices,observation_window,observation_start_s,observation_end_s,run_duration_s,prefill_busy_s
atfc / round_robin,SLO Packer (RR),experiments_mock_rr_chat_capacity_50s/atfc_8d/Qwen-7B_constant_azure_chat_23:azure_chat_23_t1200:1250_arrival_0.05/atfc_round_robin_2.0_8_tp1_arrival_3.0_0.025_reject.events.jsonl,11.814217411927613,2.0,13.298181565091818,64.94387643296128,144825.46230638432,10890.621518249993,1089062.1518249991,state_based,total,8,,0 1 2 3 4 5 6 7,global_arrival,0.042281150817871094,24.632710933685303,24.59042978286743,26.160640001296997
atfc / round_robin,SLO Packer (RR),experiments_mock_rr_chat_capacity_50s/atfc_8d/Qwen-7B_constant_azure_chat_23:azure_chat_23_t1200:1250_arrival_0.05/atfc_round_robin_2.5_8_tp1_arrival_3.0_0.025_reject.events.jsonl,14.767771764909499,2.5,16.680168675414077,74.22473906719864,134656.2720533142,8072.8363527757565,807283.6352775757,state_based,total,8,,0 1 2 3 4 5 6 7,global_arrival,0.04399228096008301,19.70588994026184,19.661897659301758,26.237101554870605
atfc / round_robin,SLO Packer (RR),experiments_mock_rr_chat_capacity_50s/atfc_8d/Qwen-7B_constant_azure_chat_23:azure_chat_23_t1200:1250_arrival_0.05/atfc_round_robin_2.75_8_tp1_arrival_3.0_0.025_reject.events.jsonl,16.244548941400506,2.75,18.615940098408874,78.5306007144378,129130.93082391977,6936.578552643535,693657.8552643536,state_based,total,8,,0 1 2 3 4 5 6 7,global_arrival,0.04470491409301758,17.91494059562683,17.870235681533813,26.613698959350586
atfc / round_robin,SLO Packer (RR),experiments_mock_rr_chat_capacity_50s/atfc_8d/Qwen-7B_constant_azure_chat_23:azure_chat_23_t1200:1250_arrival_0.05/atfc_round_robin_3.0_8_tp1_arrival_3.0_0.025_reject.events.jsonl,17.72132611789142,3.0,20.632076839496303,81.37794247599196,125990.86625932647,6106.552783776969,610655.2783776969,state_based,total,8,,0 1 2 3 4 5 6 7,global_arrival,0.04227948188781738,16.42232656478882,16.380047082901,27.036351203918457
atfc / round_robin,SLO Packer (RR),experiments_mock_rr_chat_capacity_50s/atfc_8d/Qwen-7B_constant_azure_chat_23:azure_chat_23_t1200:1250_arrival_0.05/atfc_round_robin_4.0_8_tp1_arrival_3.0_0.025_reject.events.jsonl,23.628434823855226,4.0,22.07707827298414,82.24273290865764,102303.73032141446,4633.934303100433,463393.4303100433,state_based,total,8,,0 1 2 3 4 5 6 7,global_arrival,0.041629791259765625,12.316669464111328,12.275039672851562,21.679760932922363
vllm / round_robin,Colocated,experiments_mock_rr_chat_capacity_50s/vllm_8d/Qwen-7B_constant_azure_chat_23:azure_chat_23_t1200:1250_arrival_0.05/vllm_round_robin_2.0_8_tp1_arrival_3.0_0.025_reject.events.jsonl,11.814217411927613,2.0,13.366541034748261,65.66292914691246,143463.17626590584,10733.006833477151,1073300.683347715,state_based,total,8,,0 1 2 3 4 5 6 7,global_arrival,0.04497361183166504,24.631715774536133,24.586742162704468,26.291175842285156
vllm / round_robin,Colocated,experiments_mock_rr_chat_capacity_50s/vllm_8d/Qwen-7B_constant_azure_chat_23:azure_chat_23_t1200:1250_arrival_0.05/vllm_round_robin_4.0_8_tp1_arrival_3.0_0.025_reject.events.jsonl,23.628434823855226,4.0,21.867288378529263,79.01337435022945,104005.5471081202,4756.216011228885,475621.6011228885,state_based,total,8,,0 1 2 3 4 5 6 7,global_arrival,0.042159080505371094,12.316704273223877,12.274545192718506,21.47288155555725
vllm / round_robin,Colocated,experiments_mock_rr_chat_capacity_50s/vllm_8d/Qwen-7B_constant_azure_chat_23:azure_chat_23_t1200:1250_arrival_0.05/vllm_round_robin_5.0_8_tp1_arrival_3.0_0.025_reject.events.jsonl,29.535543529818998,5.0,22.930242585602628,78.82388432318574,83771.81805122734,3653.333266688846,365333.3266688846,state_based,total,8,,0 1 2 3 4 5 6 7,global_arrival,0.04515242576599121,9.852983474731445,9.807831048965454,17.99167561531067
vllm / round_robin,Colocated,experiments_mock_rr_chat_capacity_50s/vllm_8d/Qwen-7B_constant_azure_chat_23:azure_chat_23_t1200:1250_arrival_0.05/vllm_round_robin_5.5_8_tp1_arrival_3.0_0.025_reject.events.jsonl,32.48909788280101,5.5,23.288637264662757,77.62990518630214,77315.42073017047,3319.877408519982,331987.7408519982,state_based,total,8,,0 1 2 3 4 5 6 7,global_arrival,0.04212522506713867,9.024957418441772,8.982832193374634,16.735833644866943
vllm / round_robin,Colocated,experiments_mock_rr_chat_capacity_50s/vllm_8d/Qwen-7B_constant_azure_chat_23:azure_chat_23_t1200:1250_arrival_0.05/vllm_round_robin_5.75_8_tp1_arrival_3.0_0.025_reject.events.jsonl,33.965875059291875,5.75,23.886443460544125,76.23871989591558,75235.45800249671,3149.7136912312385,314971.3691231238,state_based,total,8,,0 1 2 3 4 5 6 7,global_arrival,0.042496442794799805,8.680176019668579,8.63767957687378,16.50587558746338
